name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Kenya,25-35,male,2015,4085025.92,6.567,268263.6521664,1.354,51678.96110646695,3765083.3067271328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,female,2015,4742700.0,55.928,2652497.256,7.339,153399.97938216003,1936802.76461784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,female,2017,4284168.384,13.838,592843.2209779199,2.3,84900.47874950783,3606424.684272572,138759721.8461632,2335035.3809501287,23552327.292724077,0.0,1000958.4039591952,8861042.779343713,90144713.51525086,8236161.165185659,16926749.233418897,539595.5686374889,4081623.1356600514,915436.9012775404,1599726.177285019,4339306.293027414,6900741.760705599,23993010.9618542,7649379.774097059,0,0,18558804.061443303,0
Kenya,25-35,male,2016,4166646.272,6.499,270790.34121728,1.347,52477.17938764324,3843378.751395077,126529978.22811028,4071699.318444852,30597958.289234865,458988.4823250084,1102405.98168926,39006461.46637964,67918217.25448163,35866480.72284611,11090938.688569758,2171461.342746079,3553910.784331773,1327446.5358734578,3381439.774111987,12296586.635027602,11721304.160877183,21801742.523493454,4970726.958404294,0,0,8665561.705041679,0
Kenya,15-24,male,2023,5924360.0,57.228,3390392.7408,12.417,314642.714574864,2219324.544625136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,female,2023,4846339.104,11.607,562514.5798012799,3.727,159658.1400168863,4124166.384181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,male,2015,4769000.0,53.436,2548362.84,7.337,162928.1484292,2057709.0115708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,male,2015,1025688.96,21.269,218153.7849024,9.771,78904.2619587865,728630.9131388136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,female,2019,5323820.0,58.043,3090104.8426,13.175,294291.97198745003,1939423.1854125496,694079.0992284494,12926.903290372997,119481.7161065984,0.0,6055.64677863935,61889.1449535849,460839.2860513073,46550.63741107944,91033.87483755196,3049.7846218023524,22505.262222001074,5175.457975769256,9044.113899846505,24532.436186713985,36550.8837413184,129282.73149428844,40115.12654187338,0,0,95435.68860368391,0
Kenya,15-24,male,2017,5063600.0,54.779,2773789.444,8.798,201457.53271688,2088353.02328312,63694789.42830991,2058652.882912584,15424839.560376752,232526.66696708417,558486.3203283331,19641557.91035272,34742972.83885616,17623913.966902196,5656720.523215414,1067003.1493397662,1814038.252986815,651885.6544112707,1660565.6201052635,6038637.496104775,5892051.082570277,10991365.670179602,2499733.455086332,0,0,4380156.776468749,0
Rwanda,15-24,female,2024,1449340.0,63.065,914026.271,17.876,95692.68219604,439621.04680396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,male,2018,4329886.976,6.876,297723.02846976003,2.546,102658.89410411989,3929505.05342612,126706062.37340266,4054839.029185031,30286535.78976393,460901.2302490913,1107000.0506782932,38519806.21393567,67677425.99222831,35710844.19781887,10951043.583395232,2162038.653627859,3555020.876048887,1328025.672433199,3382915.024033417,12301951.37303242,11639927.309633715,21574393.12068006,4917485.447586115,0,0,8660429.309633976,0
Rwanda,25-35,female,2022,1151912.992,46.483,535443.71607136,12.832,79105.3374871631,537363.9384414769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,male,2020,4493127.68,7.883,354193.25501439994,3.721,154009.74995371417,3984924.6750318855,127442418.98899832,4063283.630134903,30026707.79075853,436008.4067449796,1047212.0634219242,42566911.7335319,66324483.03690602,35808656.31346303,10567835.204569178,2167960.4843648854,3607042.4522438375,1398154.7753650823,3561556.748252185,12951580.993912974,11594546.992680628,21974907.791688014,4692315.492013188,0,0,8091133.944181528,0
Rwanda,25-35,female,2023,1162157.248,47.319,549921.1881811201,12.506,76566.24164094914,535669.8181779309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,female,2020,1297100.0,59.025,765613.275,19.035,101168.49810375,430318.2268962499,22410763.633612305,127558.35606887688,1713804.1140858084,16712.19418249238,69566.20667834229,1609101.8862547136,4381845.114894114,97687.9650003916,780359.8143705874,64788.62080528186,260808.0904609101,7240.41248968164,171025.54985707684,358711.83383019525,300272.2102163779,967760.146680826,591750.7474369158,0,0,2040070.358466877,0
Rwanda,25-35,male,2018,1063788.48,29.744,316413.24549119995,9.597,71725.60125580954,675649.6332529904,28579857.732865725,1854535.733787928,3169025.0254684445,236593.06324746343,140902.72037494584,7447424.341817353,8922417.707299981,5112972.742110041,1417434.8903178903,244776.87365247836,540515.2372216398,101205.41735266362,574500.640511217,1306421.4794510968,1269012.725414245,1674964.5904613638,617786.8391190022,0,0,3102750.6469519245,0
Rwanda,25-35,female,2016,1103553.376,39.162,432173.57310912,10.879,73039.40875649884,598340.3941343811,29578265.938735407,162447.3072818586,2023910.593051108,8552.903599731639,35602.33043140326,965483.3374842365,8245216.922977085,126678.40316097124,996146.1355066332,84015.66177145654,248762.0096469259,6956.33485926327,164315.36131275902,344637.7727317797,410511.3267271751,1051683.5560130305,519511.6194512305,0,0,2726191.0775898416,0
Rwanda,15-24,male,2020,1279700.0,52.481,671599.3570000001,15.571,94687.35112152998,513413.29187847,17562911.731052987,1016008.686496762,2428000.728896558,100746.93949269336,59999.72124762941,6844818.699065088,3678900.561408146,2955237.206752068,1043496.0792959596,141478.1108478449,374575.8407482724,72561.34504569329,411900.27466458606,936666.2598231082,879089.9628992125,1063419.9807812602,461012.28787274944,0,0,1512194.1786287578,0
Rwanda,15-24,female,2015,1120700.0,57.894,648818.058,17.894,84438.55470148,387443.3872985201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,female,2024,6011740.0,58.297,3504664.0678,14.3,358511.85830460006,2148564.0738954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2019,1124456.704,49.011,551107.47519744,11.983,68704.43808741076,504644.79071514914,288423.53236935724,1841.184420720608,27675.061135687225,136.1790040581087,566.8589437215583,14851.815040142272,71027.03814708018,1499.076191013652,13305.131555027005,994.2174442616392,4478.960657862429,102.96461282442364,2432.123798086588,5101.176920306795,5157.087812216832,16089.327900190654,6530.502889729709,0,0,33023.131697497745,0
Kenya,15-24,female,2020,5469100.0,58.456,3197017.0960000004,14.775,335700.24906599993,1936382.654934,68573992.19430958,1253828.0887230015,12197769.75972053,0.0,595611.6771954364,6178897.939930729,46520515.81108752,4491713.707654985,8883733.176884055,294276.5159190835,2262373.232245746,519489.308458696,907807.6756588102,2462456.147670463,3853151.463115383,13373660.701368673,4131287.747058876,0,0,9322707.60721561,0
Rwanda,15-24,female,2022,1373220.0,61.847,849295.3734,18.698,97963.426681668,425961.1999183319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,male,2019,4411507.328,7.032,310217.19530495995,3.166,129846.84560112497,3971443.287093915,1254115.1927992569,41392.06446741066,297185.0022319828,4504.834391852097,10819.784311234049,408302.7654244223,669367.2748136983,369902.312791054,110099.0922253915,22394.964786899327,35210.77714012646,14044.293086052832,35775.40033219999,130097.0411940045,116921.9599947449,222230.6659269846,48010.38796703872,0,0,84654.19010971622,0
Rwanda,25-35,female,2017,1110521.152,39.005,433158.7753376,10.921,73974.7451553007,603387.6315070993,29674111.82055132,183055.7023388584,2013896.578774751,8302.373503500265,34559.47344546453,901323.7591548788,8620590.630428493,137483.84696632126,1073182.302780019,91182.04916968722,287231.7795919985,7673.576894331984,181257.31228627727,380172.102587469,452974.87185511086,1112415.4307037753,527522.5682253927,0,0,2791180.731504153,0
Rwanda,15-24,female,2017,1191260.0,58.469,696517.8094,17.968,88895.27680700799,405846.913792992,22196824.444237288,136929.29759461642,1506434.6012524634,6210.340118758061,25851.171876456327,674208.0561792922,6448372.843858315,102840.64552578478,802761.6568787266,68205.9820399961,214855.07047236693,5739.987778332706,135584.06615110076,284376.276222236,338834.19220841816,832108.8150409738,394597.3482907325,0,0,2087858.5705951024,0
Rwanda,15-24,male,2019,1241980.0,58.756,729737.7688,16.53,84673.64081736,427568.59038264,165154.87368553178,13258.924814320784,22579.03331267746,1759.9271944397335,1048.1225694222182,53758.57776583592,47392.12009263836,33938.99217261559,10066.160133566622,1624.7848009258923,3869.502007909966,661.9721491087695,3757.7378129705994,8545.14172280462,10162.954078541634,12406.235782104468,4598.9428178169965,0,0,19755.398083099197,0
Kenya,15-24,male,2021,5645120.0,58.036,3276201.8432,12.474,295498.850879232,2073419.305920768,62218978.51487073,2189324.524592686,15173399.59903555,238334.1162583632,572434.7462335603,22047563.303030293,34051220.071563,18668742.79215727,5581969.279958301,1130260.1335239715,1732756.5224095357,718531.3207747497,1830333.893947931,6655998.864823422,5702304.818808082,11134942.745070338,2419603.455970988,0,0,4297946.162912966,0
Kenya,25-35,male,2024,4915950.336,6.661,327451.45188096,3.416,156743.1218815064,4431755.762237534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2021,1317280.0,55.473,730734.7344,16.472,96615.736149632,489929.529450368,16039326.718548218,1424376.5039766114,2297716.820227195,160576.65319825278,95631.23683247143,5830095.678460656,4644197.107376552,3318097.52015217,1023346.2981538876,158849.5731197093,361754.7007360681,66209.29379507319,375842.3480486125,854670.0939116804,926959.334653984,1207737.737337371,435756.6240246524,0,0,1925096.7986296725,0
Rwanda,25-35,male,2024,1128108.608,30.371,342617.86533568,10.035,78823.9960263645,706666.7466379555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,female,2022,5740420.0,58.126,3336676.5292,14.332,344504.51423505606,2059238.956564944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2015,1091100.0,53.881,587895.591,15.468,77835.65798412,425368.75101588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2018,1204260.0,58.393,703203.5418000001,17.129,85825.960725078,415230.49747492187,18055988.923674367,1171646.023602355,2002105.1641871703,149473.16285979425,89018.56622889865,4705083.303165677,5636944.620271578,3230239.2846561903,895497.4135570397,154643.47516182068,341483.0552192729,63938.87302784361,362954.12309857697,825362.1128244161,801728.2635991587,1058197.7830539974,390301.1844421104,0,0,1960234.7862586768,0
Kenya,15-24,male,2024,6063980.0,57.193,3468172.0814,12.438,322866.588915468,2272941.329684532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2021,1141668.736,45.611,520726.52717696,13.182,81852.60196705314,539089.6068559869,28825417.751351304,134658.87143967306,2882115.103727937,18676.82254948387,77744.17191329872,1543003.2437042368,7092744.828514661,151171.99207971088,1397002.4289001978,100260.30198491905,491210.7066812464,10787.566445353974,254812.75901969185,534448.52039751,568018.5156600707,1588833.1150629304,639894.746190438,0,0,3285205.03022404,0
Kenya,25-35,female,2020,4527312.0,13.634,617253.71808,3.597,140644.7964006624,3769413.4855193375,132551916.7631604,2423620.2550493367,23578002.53637325,0.0,1151303.386786445,11943664.63455989,89923064.74002051,8682377.129421912,17172047.63683247,568829.5955255189,4373114.336381383,1004160.6354060704,1754770.921312499,4759869.913859756,7448051.304457998,25850972.11612645,7985682.210554668,0,0,18020574.90334463,0
Rwanda,15-24,female,2019,1261820.0,63.503,801293.5545999999,18.032,83042.12863452802,377484.31676547206,215746.5251969408,1377.2424800224655,20701.494866206594,101.86459713936456,424.0217376858103,11109.452344113872,53129.63387342228,1121.338735989428,9952.502407498489,743.6943758630031,3350.351444937393,77.01957344683662,1819.2768598853584,3815.781555444083,3857.6040119931727,12035.13651852464,4884.945741679203,0,0,24701.957764431805,0
